mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
251.1135_0.74	574289.9447	553939.3993	577260.2899	0	0	0	230077.4896	274436.0975	261296.797
146.0923_0.8	255451.1198	161794.5486	231706.0864	0	0	0	137793.6026	140667.861	130810.2453
72.0813_0.81	1310783.815	1285799.217	1368221.974	161308.7986	183185.7091	187014.1644	1343568.919	1306714.25	1341928.492
249.1449_0.84	411798.0352	390405.471	307789.2833	0	0	0	44475.40613	40387.17281	39328.76622
356.69_0.84	793882.7719	761797.5698	627001.1484	0	0	0	13604.58093	17747.88497	4819.685853
219.0715_0.89	148071.8595	111312.9778	30465.48736	13281.71529	16328.30296	7713.456536	26155.68298	29425.87293	17968.53092
323.1321_1	141637.0248	190187.1537	189747.7588	0	0	0	143377.0812	117418.7507	126156.593
120.0656_1	142776.5857	175762.8257	182021.2827	6758.673265	10284.78582	9396.828157	167319.7192	168166.658	176587.0389
286.1505_1.03	2219908.779	2524378.313	2453986.685	0	0	0	2253297.226	2182476.069	2237838.736
152.0566_1.04	483027.4113	605201.0805	557265.3454	320219.4795	367712.4615	264274.4131	668414.3179	653325.0948	704110.8495
112.0507_1.04	131270.1217	146636.2083	116300.6842	1070.707674	4922.866628	2298.373546	114671.8718	115749.6955	114252.1915
152.0375_1.04	18655.48938	24251.9187	19947.98307	66580.1996	78719.18088	61735.89587	44764.87354	49438.58821	43899.44319
343.1718_1.04	497333.0306	486646.3375	600132.0524	0	0	0	678907.9749	657711.1309	689042.3411
326.1815_1.12	275301.8671	260672.7581	581816.4283	0	0	0	410286.9275	377525.7318	390359.379
445.2034_1.15	1644533.651	1685057.809	2575003.638	0	0	0	2368418.096	2274125.519	2245098.539
259.1649_1.23	0	0	0	142509.3899	203061.9267	139664.2698	20102.82818	11143.64151	8646.600765
388.182_1.24	3727026.855	3760335.312	5215279.62	0	0	0	4585729.408	4589587.477	4692347.006
230.1132_1.28	154423.0236	193834.3799	186252.7913	4459.375094	5852.329623	862.1046198	143084.6043	134662.5827	145599.3216
246.1445_1.28	677924.074	655308.0998	931562.9782	1338.555514	1.13711795	0	604399.5543	593900.6166	643938.9197
521.2196_1.31	1556395.577	1508197.45	2751027.224	0	0	0	2009175.374	2192412.544	2147230.008
129.1023_1.37	200334.3765	152912.849	299745.419	11439.68336	12702.75214	6616.317716	222952.0393	243838.5031	243213.6323
288.2025_1.52	555973.3288	510951.1817	1543012.622	0	0	0	459608.3271	487893.4182	452688.6578
417.2085_1.61	8483.04365	1305.847747	30175.17645	936877.7243	761225.6461	611972.0767	34653.49456	40182.7743	32665.19974
491.2091_1.73	1084389.115	970067.6472	2278551.583	0	0	0	1305734.831	1287865.101	1393430.195
495.2654_1.76	2622145.962	2306788.645	6348954.774	0	0	0	2978249.045	2939018.958	3016527.768
137.0457_1.8	382890.1631	347832.5085	516510.134	289103.0052	200106.4215	137105.5031	524775.7884	525864.3166	533055.296
185.0919_1.8	908736.1247	871536.1196	1030820.787	105205.6956	95114.9218	84807.12635	973987.0818	958036.4588	1002885.177
227.1388_1.81	244771.9536	229745.4452	356376.1916	162338.5724	148186.5491	113853.7488	268285.8601	272115.265	310339.2139
287.0668_1.82	0	0	0	1197522.32	1281414.069	1148769.677	80035.56936	66941.77667	53672.0345
317.1815_1.84	4071165.454	3324967.244	6044926.078	161509.8118	160559.7594	135900.4006	3571212.493	3335110.675	3632605.376
499.2983_1.84	2676512.66	2262795.094	4541203.903	0	0	0	2860940.677	2765129.771	3044322.2
254.1608_1.86	42158006.67	39307321.98	45393716.93	101489.9625	91343.24074	72656.99605	36880357.29	35036287.72	37095238.64
530.2572_1.96	1354582.512	1494262.515	2406563.777	0	0	0	1433736.279	1395981.927	1322155.111
464.0808_2.15	0	0	0	3687475.172	5084433.97	3330384.503	934909.9314	876823.4716	1009262.798
342.1773_2.23	765930.3401	663799.2226	1557294.697	0	0	0	1226250.236	1164199.378	1209422.179
256.1764_2.24	2155414.238	1841475.237	3111789.415	82086.36666	86532.05709	84576.9071	1942791.972	1878818.552	1885864.124
440.2251_2.29	6667139.412	5881854.416	9089364.283	0	0	0	6488920.181	6308721.956	6496162.561
586.2824_2.37	2965507.644	2594687.614	4350872.513	0	0	0	3310240.187	3445058.631	3509404.532
272.16_2.38	324743.0096	320386.6319	512092.6851	0	0	0	276406.0072	248757.5544	287232.6532
286.1756_2.45	332352.7645	266283.0858	416149.6395	0	0	0	234160.7827	226509.8501	239506.4135
485.2349_2.49	18870899.93	16457656.11	25441177.75	0	0	0	16962131.98	17373035.75	17319707.24
412.7161_2.49	853166.2619	612259.8424	1651165.332	0	0	0	1191119.086	1345876.464	1219112.918
